350.000, 0.119	350.000, 0.107	350.000, 0.060	350.000, 0.115	350.000, 0.100	350.000, 0.114	350.000, 0.102	350.000, 0.105	350.000, 0.118	350.000, 0.094
351.000, 0.100	351.000, 0.116	351.000, 0.075	351.000, 0.109	351.000, 0.115	351.000, 0.104	351.000, 0.106	351.000, 0.113	351.000, 0.083	351.000, 0.097
352.000, 0.090	352.000, 0.118	352.000, 0.098	352.000, 0.100	352.000, 0.113	352.000, 0.108	352.000, 0.108	352.000, 0.106	352.000, 0.066	352.000, 0.107
353.000, 0.097	353.000, 0.087	353.000, 0.101	353.000, 0.107	353.000, 0.087	353.000, 0.125	353.000, 0.097	353.000, 0.085	353.000, 0.085	353.000, 0.110
354.000, 0.107	354.000, 0.081	354.000, 0.086	354.000, 0.082	354.000, 0.088	354.000, 0.098	354.000, 0.094	354.000, 0.099	354.000, 0.103	354.000, 0.101
355.000, 0.112	355.000, 0.090	355.000, 0.082	355.000, 0.088	355.000, 0.089	355.000, 0.103	355.000, 0.097	355.000, 0.116	355.000, 0.113	355.000, 0.090
356.000, 0.109	356.000, 0.099	356.000, 0.088	356.000, 0.113	356.000, 0.087	356.000, 0.128	356.000, 0.095	356.000, 0.119	356.000, 0.111	356.000, 0.086
357.000, 0.103	357.000, 0.094	357.000, 0.084	357.000, 0.105	357.000, 0.089	357.000, 0.109	357.000, 0.078	357.000, 0.100	357.000, 0.094	357.000, 0.098
358.000, 0.096	358.000, 0.082	358.000, 0.080	358.000, 0.093	358.000, 0.082	358.000, 0.090	358.000, 0.079	358.000, 0.090	358.000, 0.088	358.000, 0.106
359.000, 0.093	359.000, 0.077	359.000, 0.076	359.000, 0.087	359.000, 0.079	359.000, 0.082	359.000, 0.089	359.000, 0.091	359.000, 0.083	359.000, 0.102
360.000, 0.096	360.000, 0.087	360.000, 0.075	360.000, 0.090	360.000, 0.092	360.000, 0.086	360.000, 0.091	360.000, 0.096	360.000, 0.072	360.000, 0.086
361.000, 0.097	361.000, 0.086	361.000, 0.083	361.000, 0.080	361.000, 0.096	361.000, 0.087	361.000, 0.089	361.000, 0.097	361.000, 0.085	361.000, 0.083
362.000, 0.089	362.000, 0.081	362.000, 0.088	362.000, 0.083	362.000, 0.095	362.000, 0.088	362.000, 0.084	362.000, 0.097	362.000, 0.095	362.000, 0.083
363.000, 0.074	363.000, 0.079	363.000, 0.086	363.000, 0.098	363.000, 0.093	363.000, 0.089	363.000, 0.079	363.000, 0.096	363.000, 0.089	363.000, 0.080
364.000, 0.079	364.000, 0.080	364.000, 0.089	364.000, 0.080	364.000, 0.087	364.000, 0.087	364.000, 0.078	364.000, 0.086	364.000, 0.079	364.000, 0.071
365.000, 0.080	365.000, 0.080	365.000, 0.084	365.000, 0.074	365.000, 0.081	365.000, 0.083	365.000, 0.083	365.000, 0.083	365.000, 0.076	365.000, 0.078
366.000, 0.077	366.000, 0.081	366.000, 0.077	366.000, 0.080	366.000, 0.078	366.000, 0.080	366.000, 0.087	366.000, 0.086	366.000, 0.080	366.000, 0.092
367.000, 0.081	367.000, 0.083	367.000, 0.079	367.000, 0.078	367.000, 0.078	367.000, 0.079	367.000, 0.081	367.000, 0.085	367.000, 0.084	367.000, 0.086
368.000, 0.082	368.000, 0.083	368.000, 0.084	368.000, 0.080	368.000, 0.082	368.000, 0.084	368.000, 0.081	368.000, 0.085	368.000, 0.087	368.000, 0.081
369.000, 0.081	369.000, 0.082	369.000, 0.085	369.000, 0.082	369.000, 0.083	369.000, 0.090	369.000, 0.084	369.000, 0.086	369.000, 0.086	369.000, 0.082
370.000, 0.080	370.000, 0.083	370.000, 0.083	370.000, 0.081	370.000, 0.076	370.000, 0.090	370.000, 0.082	370.000, 0.089	370.000, 0.083	370.000, 0.086
371.000, 0.079	371.000, 0.077	371.000, 0.080	371.000, 0.078	371.000, 0.077	371.000, 0.085	371.000, 0.082	371.000, 0.085	371.000, 0.081	371.000, 0.085
372.000, 0.077	372.000, 0.075	372.000, 0.077	372.000, 0.078	372.000, 0.079	372.000, 0.079	372.000, 0.080	372.000, 0.080	372.000, 0.081	372.000, 0.081
373.000, 0.078	373.000, 0.080	373.000, 0.077	373.000, 0.080	373.000, 0.077	373.000, 0.078	373.000, 0.078	373.000, 0.079	373.000, 0.082	373.000, 0.079
374.000, 0.082	374.000, 0.083	374.000, 0.083	374.000, 0.083	374.000, 0.077	374.000, 0.081	374.000, 0.081	374.000, 0.078	374.000, 0.078	374.000, 0.082
375.000, 0.083	375.000, 0.083	375.000, 0.084	375.000, 0.083	375.000, 0.080	375.000, 0.085	375.000, 0.084	375.000, 0.085	375.000, 0.080	375.000, 0.084
376.000, 0.081	376.000, 0.080	376.000, 0.081	376.000, 0.081	376.000, 0.083	376.000, 0.088	376.000, 0.083	376.000, 0.090	376.000, 0.085	376.000, 0.083
377.000, 0.078	377.000, 0.078	377.000, 0.078	377.000, 0.079	377.000, 0.081	377.000, 0.087	377.000, 0.081	377.000, 0.080	377.000, 0.082	377.000, 0.080
378.000, 0.080	378.000, 0.080	378.000, 0.082	378.000, 0.080	378.000, 0.082	378.000, 0.087	378.000, 0.083	378.000, 0.078	378.000, 0.080	378.000, 0.082
379.000, 0.083	379.000, 0.082	379.000, 0.086	379.000, 0.081	379.000, 0.083	379.000, 0.087	379.000, 0.085	379.000, 0.083	379.000, 0.080	379.000, 0.084
380.000, 0.083	380.000, 0.080	380.000, 0.085	380.000, 0.083	380.000, 0.083	380.000, 0.086	380.000, 0.083	380.000, 0.087	380.000, 0.081	380.000, 0.084
381.000, 0.085	381.000, 0.082	381.000, 0.085	381.000, 0.085	381.000, 0.085	381.000, 0.085	381.000, 0.084	381.000, 0.088	381.000, 0.081	381.000, 0.085
382.000, 0.085	382.000, 0.084	382.000, 0.084	382.000, 0.086	382.000, 0.084	382.000, 0.086	382.000, 0.085	382.000, 0.086	382.000, 0.082	382.000, 0.087
383.000, 0.082	383.000, 0.084	383.000, 0.083	383.000, 0.086	383.000, 0.082	383.000, 0.086	383.000, 0.086	383.000, 0.082	383.000, 0.084	383.000, 0.089
384.000, 0.085	384.000, 0.084	384.000, 0.086	384.000, 0.087	384.000, 0.086	384.000, 0.088	384.000, 0.087	384.000, 0.086	384.000, 0.086	384.000, 0.088
385.000, 0.085	385.000, 0.083	385.000, 0.086	385.000, 0.086	385.000, 0.087	385.000, 0.086	385.000, 0.087	385.000, 0.087	385.000, 0.086	385.000, 0.086
386.000, 0.083	386.000, 0.082	386.000, 0.085	386.000, 0.085	386.000, 0.085	386.000, 0.084	386.000, 0.086	386.000, 0.086	386.000, 0.085	386.000, 0.086
387.000, 0.085	387.000, 0.083	387.000, 0.085	387.000, 0.088	387.000, 0.085	387.000, 0.085	387.000, 0.087	387.000, 0.086	387.000, 0.085	387.000, 0.089
388.000, 0.087	388.000, 0.085	388.000, 0.084	388.000, 0.087	388.000, 0.085	388.000, 0.087	388.000, 0.086	388.000, 0.088	388.000, 0.085	388.000, 0.089
389.000, 0.088	389.000, 0.087	389.000, 0.083	389.000, 0.085	389.000, 0.085	389.000, 0.088	389.000, 0.085	389.000, 0.090	389.000, 0.086	389.000, 0.088
390.000, 0.087	390.000, 0.086	390.000, 0.083	390.000, 0.088	390.000, 0.086	390.000, 0.088	390.000, 0.088	390.000, 0.091	390.000, 0.086	390.000, 0.089
391.000, 0.087	391.000, 0.087	391.000, 0.085	391.000, 0.090	391.000, 0.088	391.000, 0.088	391.000, 0.089	391.000, 0.089	391.000, 0.087	391.000, 0.087
392.000, 0.088	392.000, 0.088	392.000, 0.086	392.000, 0.089	392.000, 0.089	392.000, 0.088	392.000, 0.088	392.000, 0.088	392.000, 0.087	392.000, 0.086
393.000, 0.088	393.000, 0.089	393.000, 0.085	393.000, 0.088	393.000, 0.089	393.000, 0.090	393.000, 0.088	393.000, 0.089	393.000, 0.087	393.000, 0.089
394.000, 0.086	394.000, 0.089	394.000, 0.086	394.000, 0.089	394.000, 0.087	394.000, 0.089	394.000, 0.088	394.000, 0.088	394.000, 0.088	394.000, 0.087
395.000, 0.086	395.000, 0.087	395.000, 0.086	395.000, 0.090	395.000, 0.086	395.000, 0.088	395.000, 0.089	395.000, 0.088	395.000, 0.088	395.000, 0.088
396.000, 0.087	396.000, 0.085	396.000, 0.087	396.000, 0.089	396.000, 0.087	396.000, 0.089	396.000, 0.089	396.000, 0.089	396.000, 0.087	396.000, 0.090
397.000, 0.087	397.000, 0.087	397.000, 0.088	397.000, 0.087	397.000, 0.088	397.000, 0.090	397.000, 0.089	397.000, 0.089	397.000, 0.088	397.000, 0.088
398.000, 0.088	398.000, 0.087	398.000, 0.088	398.000, 0.089	398.000, 0.088	398.000, 0.090	398.000, 0.089	398.000, 0.088	398.000, 0.088	398.000, 0.088
399.000, 0.089	399.000, 0.088	399.000, 0.088	399.000, 0.091	399.000, 0.088	399.000, 0.089	399.000, 0.088	399.000, 0.089	399.000, 0.087	399.000, 0.089
400.000, 0.090	400.000, 0.088	400.000, 0.089	400.000, 0.091	400.000, 0.089	400.000, 0.090	400.000, 0.090	400.000, 0.091	400.000, 0.088	400.000, 0.089
401.000, 0.090	401.000, 0.088	401.000, 0.089	401.000, 0.090	401.000, 0.089	401.000, 0.089	401.000, 0.090	401.000, 0.090	401.000, 0.089	401.000, 0.089
402.000, 0.089	402.000, 0.088	402.000, 0.088	402.000, 0.090	402.000, 0.089	402.000, 0.090	402.000, 0.090	402.000, 0.089	402.000, 0.090	402.000, 0.090
403.000, 0.089	403.000, 0.088	403.000, 0.089	403.000, 0.091	403.000, 0.089	403.000, 0.092	403.000, 0.089	403.000, 0.091	403.000, 0.090	403.000, 0.090
404.000, 0.089	404.000, 0.088	404.000, 0.090	404.000, 0.091	404.000, 0.091	404.000, 0.091	404.000, 0.091	404.000, 0.092	404.000, 0.091	404.000, 0.090
