350.000, 0.098	350.000, 0.079	350.000, 0.074	350.000, 0.060	350.000, 0.112	350.000, 0.063	350.000, 0.124	350.000, 0.080	350.000, 0.093	350.000, 0.114
351.000, 0.094	351.000, 0.067	351.000, 0.062	351.000, 0.069	351.000, 0.081	351.000, 0.064	351.000, 0.096	351.000, 0.073	351.000, 0.097	351.000, 0.101
352.000, 0.088	352.000, 0.059	352.000, 0.056	352.000, 0.085	352.000, 0.057	352.000, 0.062	352.000, 0.086	352.000, 0.063	352.000, 0.093	352.000, 0.092
353.000, 0.085	353.000, 0.072	353.000, 0.069	353.000, 0.090	353.000, 0.075	353.000, 0.056	353.000, 0.104	353.000, 0.061	353.000, 0.077	353.000, 0.089
354.000, 0.098	354.000, 0.072	354.000, 0.069	354.000, 0.084	354.000, 0.070	354.000, 0.067	354.000, 0.109	354.000, 0.061	354.000, 0.061	354.000, 0.079
355.000, 0.082	355.000, 0.059	355.000, 0.071	355.000, 0.067	355.000, 0.061	355.000, 0.062	355.000, 0.097	355.000, 0.060	355.000, 0.055	355.000, 0.076
356.000, 0.052	356.000, 0.042	356.000, 0.075	356.000, 0.050	356.000, 0.060	356.000, 0.048	356.000, 0.078	356.000, 0.060	356.000, 0.056	356.000, 0.077
357.000, 0.061	357.000, 0.040	357.000, 0.070	357.000, 0.049	357.000, 0.078	357.000, 0.055	357.000, 0.074	357.000, 0.067	357.000, 0.059	357.000, 0.064
358.000, 0.074	358.000, 0.055	358.000, 0.073	358.000, 0.069	358.000, 0.086	358.000, 0.058	358.000, 0.077	358.000, 0.070	358.000, 0.070	358.000, 0.075
359.000, 0.080	359.000, 0.071	359.000, 0.078	359.000, 0.084	359.000, 0.082	359.000, 0.062	359.000, 0.080	359.000, 0.070	359.000, 0.082	359.000, 0.090
360.000, 0.074	360.000, 0.076	360.000, 0.078	360.000, 0.072	360.000, 0.075	360.000, 0.075	360.000, 0.076	360.000, 0.071	360.000, 0.082	360.000, 0.085
361.000, 0.078	361.000, 0.078	361.000, 0.069	361.000, 0.071	361.000, 0.076	361.000, 0.073	361.000, 0.081	361.000, 0.066	361.000, 0.080	361.000, 0.082
362.000, 0.078	362.000, 0.072	362.000, 0.071	362.000, 0.075	362.000, 0.077	362.000, 0.069	362.000, 0.080	362.000, 0.066	362.000, 0.075	362.000, 0.077
363.000, 0.071	363.000, 0.062	363.000, 0.083	363.000, 0.076	363.000, 0.073	363.000, 0.068	363.000, 0.071	363.000, 0.071	363.000, 0.069	363.000, 0.071
364.000, 0.067	364.000, 0.061	364.000, 0.076	364.000, 0.061	364.000, 0.070	364.000, 0.065	364.000, 0.076	364.000, 0.064	364.000, 0.066	364.000, 0.066
365.000, 0.074	365.000, 0.065	365.000, 0.073	365.000, 0.057	365.000, 0.069	365.000, 0.068	365.000, 0.080	365.000, 0.062	365.000, 0.067	365.000, 0.068
366.000, 0.083	366.000, 0.069	366.000, 0.076	366.000, 0.066	366.000, 0.068	366.000, 0.073	366.000, 0.079	366.000, 0.065	366.000, 0.068	366.000, 0.074
367.000, 0.074	367.000, 0.066	367.000, 0.072	367.000, 0.071	367.000, 0.070	367.000, 0.069	367.000, 0.067	367.000, 0.068	367.000, 0.065	367.000, 0.072
368.000, 0.064	368.000, 0.065	368.000, 0.070	368.000, 0.068	368.000, 0.064	368.000, 0.066	368.000, 0.068	368.000, 0.066	368.000, 0.063	368.000, 0.072
369.000, 0.062	369.000, 0.065	369.000, 0.069	369.000, 0.064	369.000, 0.063	369.000, 0.064	369.000, 0.074	369.000, 0.063	369.000, 0.063	369.000, 0.074
370.000, 0.069	370.000, 0.064	370.000, 0.066	370.000, 0.066	370.000, 0.073	370.000, 0.062	370.000, 0.073	370.000, 0.067	370.000, 0.066	370.000, 0.077
371.000, 0.070	371.000, 0.065	371.000, 0.072	371.000, 0.068	371.000, 0.070	371.000, 0.066	371.000, 0.073	371.000, 0.070	371.000, 0.068	371.000, 0.072
372.000, 0.071	372.000, 0.067	372.000, 0.076	372.000, 0.070	372.000, 0.068	372.000, 0.068	372.000, 0.072	372.000, 0.069	372.000, 0.071	372.000, 0.069
373.000, 0.071	373.000, 0.069	373.000, 0.073	373.000, 0.071	373.000, 0.074	373.000, 0.068	373.000, 0.069	373.000, 0.066	373.000, 0.076	373.000, 0.074
374.000, 0.072	374.000, 0.066	374.000, 0.072	374.000, 0.070	374.000, 0.070	374.000, 0.070	374.000, 0.073	374.000, 0.068	374.000, 0.073	374.000, 0.072
375.000, 0.072	375.000, 0.064	375.000, 0.072	375.000, 0.070	375.000, 0.070	375.000, 0.070	375.000, 0.073	375.000, 0.071	375.000, 0.072	375.000, 0.069
376.000, 0.072	376.000, 0.064	376.000, 0.071	376.000, 0.071	376.000, 0.072	376.000, 0.069	376.000, 0.070	376.000, 0.071	376.000, 0.073	376.000, 0.067
377.000, 0.071	377.000, 0.066	377.000, 0.072	377.000, 0.069	377.000, 0.071	377.000, 0.065	377.000, 0.072	377.000, 0.069	377.000, 0.074	377.000, 0.068
378.000, 0.069	378.000, 0.064	378.000, 0.070	378.000, 0.067	378.000, 0.069	378.000, 0.064	378.000, 0.070	378.000, 0.070	378.000, 0.069	378.000, 0.067
379.000, 0.069	379.000, 0.064	379.000, 0.067	379.000, 0.065	379.000, 0.069	379.000, 0.067	379.000, 0.068	379.000, 0.070	379.000, 0.064	379.000, 0.068
380.000, 0.071	380.000, 0.069	380.000, 0.067	380.000, 0.068	380.000, 0.069	380.000, 0.070	380.000, 0.069	380.000, 0.067	380.000, 0.065	380.000, 0.069
381.000, 0.071	381.000, 0.069	381.000, 0.069	381.000, 0.071	381.000, 0.070	381.000, 0.068	381.000, 0.070	381.000, 0.068	381.000, 0.068	381.000, 0.070
382.000, 0.071	382.000, 0.068	382.000, 0.070	382.000, 0.071	382.000, 0.071	382.000, 0.067	382.000, 0.071	382.000, 0.071	382.000, 0.070	382.000, 0.070
383.000, 0.071	383.000, 0.070	383.000, 0.071	383.000, 0.067	383.000, 0.071	383.000, 0.068	383.000, 0.071	383.000, 0.072	383.000, 0.069	383.000, 0.069
384.000, 0.071	384.000, 0.069	384.000, 0.069	384.000, 0.066	384.000, 0.072	384.000, 0.067	384.000, 0.070	384.000, 0.068	384.000, 0.068	384.000, 0.070
385.000, 0.071	385.000, 0.068	385.000, 0.071	385.000, 0.068	385.000, 0.072	385.000, 0.069	385.000, 0.070	385.000, 0.068	385.000, 0.069	385.000, 0.072
386.000, 0.072	386.000, 0.068	386.000, 0.074	386.000, 0.071	386.000, 0.073	386.000, 0.073	386.000, 0.072	386.000, 0.071	386.000, 0.071	386.000, 0.073
387.000, 0.075	387.000, 0.070	387.000, 0.074	387.000, 0.070	387.000, 0.073	387.000, 0.074	387.000, 0.073	387.000, 0.073	387.000, 0.073	387.000, 0.073
388.000, 0.073	388.000, 0.070	388.000, 0.075	388.000, 0.069	388.000, 0.073	388.000, 0.073	388.000, 0.072	388.000, 0.072	388.000, 0.073	388.000, 0.073
389.000, 0.072	389.000, 0.070	389.000, 0.075	389.000, 0.069	389.000, 0.072	389.000, 0.071	389.000, 0.072	389.000, 0.070	389.000, 0.071	389.000, 0.073
