350.000, 0.091	350.000, 0.090	350.000, 0.066	350.000, 0.102	350.000, 0.092	350.000, 0.116	350.000, 0.096	350.000, 0.094	350.000, 0.120	350.000, 0.088
351.000, 0.091	351.000, 0.107	351.000, 0.096	351.000, 0.110	351.000, 0.088	351.000, 0.130	351.000, 0.104	351.000, 0.099	351.000, 0.117	351.000, 0.113
352.000, 0.096	352.000, 0.111	352.000, 0.113	352.000, 0.112	352.000, 0.082	352.000, 0.129	352.000, 0.094	352.000, 0.098	352.000, 0.092	352.000, 0.113
353.000, 0.101	353.000, 0.087	353.000, 0.093	353.000, 0.094	353.000, 0.081	353.000, 0.098	353.000, 0.069	353.000, 0.091	353.000, 0.065	353.000, 0.075
354.000, 0.105	354.000, 0.078	354.000, 0.071	354.000, 0.083	354.000, 0.077	354.000, 0.103	354.000, 0.078	354.000, 0.071	354.000, 0.094	354.000, 0.067
355.000, 0.096	355.000, 0.078	355.000, 0.077	355.000, 0.077	355.000, 0.081	355.000, 0.109	355.000, 0.089	355.000, 0.081	355.000, 0.102	355.000, 0.073
356.000, 0.082	356.000, 0.085	356.000, 0.096	356.000, 0.076	356.000, 0.088	356.000, 0.106	356.000, 0.093	356.000, 0.102	356.000, 0.089	356.000, 0.080
357.000, 0.082	357.000, 0.097	357.000, 0.090	357.000, 0.082	357.000, 0.082	357.000, 0.094	357.000, 0.092	357.000, 0.084	357.000, 0.095	357.000, 0.080
358.000, 0.079	358.000, 0.097	358.000, 0.088	358.000, 0.091	358.000, 0.083	358.000, 0.098	358.000, 0.092	358.000, 0.081	358.000, 0.094	358.000, 0.076
359.000, 0.079	359.000, 0.093	359.000, 0.083	359.000, 0.095	359.000, 0.085	359.000, 0.106	359.000, 0.094	359.000, 0.088	359.000, 0.088	359.000, 0.074
360.000, 0.088	360.000, 0.091	360.000, 0.070	360.000, 0.091	360.000, 0.078	360.000, 0.106	360.000, 0.096	360.000, 0.088	360.000, 0.083	360.000, 0.080
361.000, 0.091	361.000, 0.093	361.000, 0.075	361.000, 0.086	361.000, 0.087	361.000, 0.096	361.000, 0.087	361.000, 0.091	361.000, 0.084	361.000, 0.087
362.000, 0.087	362.000, 0.089	362.000, 0.080	362.000, 0.085	362.000, 0.095	362.000, 0.091	362.000, 0.084	362.000, 0.086	362.000, 0.087	362.000, 0.087
363.000, 0.077	363.000, 0.079	363.000, 0.080	363.000, 0.087	363.000, 0.095	363.000, 0.097	363.000, 0.091	363.000, 0.076	363.000, 0.087	363.000, 0.081
364.000, 0.076	364.000, 0.089	364.000, 0.092	364.000, 0.093	364.000, 0.093	364.000, 0.102	364.000, 0.097	364.000, 0.085	364.000, 0.091	364.000, 0.085
365.000, 0.080	365.000, 0.088	365.000, 0.090	365.000, 0.089	365.000, 0.089	365.000, 0.097	365.000, 0.089	365.000, 0.085	365.000, 0.085	365.000, 0.085
366.000, 0.083	366.000, 0.080	366.000, 0.080	366.000, 0.081	366.000, 0.084	366.000, 0.087	366.000, 0.077	366.000, 0.077	366.000, 0.078	366.000, 0.084
367.000, 0.079	367.000, 0.081	367.000, 0.084	367.000, 0.085	367.000, 0.085	367.000, 0.081	367.000, 0.081	367.000, 0.077	367.000, 0.087	367.000, 0.086
368.000, 0.080	368.000, 0.081	368.000, 0.088	368.000, 0.087	368.000, 0.090	368.000, 0.085	368.000, 0.081	368.000, 0.082	368.000, 0.085	368.000, 0.090
369.000, 0.085	369.000, 0.082	369.000, 0.088	369.000, 0.086	369.000, 0.092	369.000, 0.091	369.000, 0.080	369.000, 0.084	369.000, 0.080	369.000, 0.090
370.000, 0.090	370.000, 0.085	370.000, 0.088	370.000, 0.083	370.000, 0.086	370.000, 0.092	370.000, 0.083	370.000, 0.080	370.000, 0.082	370.000, 0.083
371.000, 0.084	371.000, 0.085	371.000, 0.083	371.000, 0.082	371.000, 0.084	371.000, 0.089	371.000, 0.088	371.000, 0.078	371.000, 0.083	371.000, 0.078
372.000, 0.081	372.000, 0.082	372.000, 0.080	372.000, 0.083	372.000, 0.081	372.000, 0.088	372.000, 0.084	372.000, 0.077	372.000, 0.083	372.000, 0.076
373.000, 0.084	373.000, 0.079	373.000, 0.081	373.000, 0.083	373.000, 0.078	373.000, 0.091	373.000, 0.074	373.000, 0.077	373.000, 0.081	373.000, 0.077
374.000, 0.082	374.000, 0.085	374.000, 0.084	374.000, 0.081	374.000, 0.081	374.000, 0.089	374.000, 0.080	374.000, 0.082	374.000, 0.081	374.000, 0.082
375.000, 0.083	375.000, 0.089	375.000, 0.085	375.000, 0.082	375.000, 0.084	375.000, 0.088	375.000, 0.086	375.000, 0.084	375.000, 0.082	375.000, 0.086
376.000, 0.087	376.000, 0.089	376.000, 0.085	376.000, 0.084	376.000, 0.085	376.000, 0.089	376.000, 0.087	376.000, 0.082	376.000, 0.085	376.000, 0.085
377.000, 0.087	377.000, 0.088	377.000, 0.085	377.000, 0.083	377.000, 0.085	377.000, 0.089	377.000, 0.084	377.000, 0.084	377.000, 0.087	377.000, 0.081
378.000, 0.083	378.000, 0.084	378.000, 0.085	378.000, 0.081	378.000, 0.086	378.000, 0.087	378.000, 0.084	378.000, 0.085	378.000, 0.084	378.000, 0.078
379.000, 0.081	379.000, 0.082	379.000, 0.085	379.000, 0.081	379.000, 0.086	379.000, 0.087	379.000, 0.085	379.000, 0.086	379.000, 0.081	379.000, 0.078
380.000, 0.084	380.000, 0.085	380.000, 0.085	380.000, 0.085	380.000, 0.085	380.000, 0.094	380.000, 0.083	380.000, 0.089	380.000, 0.087	380.000, 0.084
381.000, 0.085	381.000, 0.086	381.000, 0.085	381.000, 0.087	381.000, 0.084	381.000, 0.093	381.000, 0.083	381.000, 0.088	381.000, 0.088	381.000, 0.084
382.000, 0.086	382.000, 0.087	382.000, 0.087	382.000, 0.086	382.000, 0.086	382.000, 0.091	382.000, 0.086	382.000, 0.086	382.000, 0.089	382.000, 0.084
383.000, 0.088	383.000, 0.088	383.000, 0.090	383.000, 0.086	383.000, 0.090	383.000, 0.089	383.000, 0.088	383.000, 0.084	383.000, 0.089	383.000, 0.087
384.000, 0.085	384.000, 0.087	384.000, 0.087	384.000, 0.089	384.000, 0.088	384.000, 0.088	384.000, 0.088	384.000, 0.088	384.000, 0.090	384.000, 0.087
385.000, 0.085	385.000, 0.087	385.000, 0.085	385.000, 0.089	385.000, 0.087	385.000, 0.086	385.000, 0.088	385.000, 0.088	385.000, 0.089	385.000, 0.086
386.000, 0.086	386.000, 0.087	386.000, 0.084	386.000, 0.086	386.000, 0.087	386.000, 0.085	386.000, 0.088	386.000, 0.085	386.000, 0.087	386.000, 0.085
387.000, 0.086	387.000, 0.087	387.000, 0.084	387.000, 0.084	387.000, 0.086	387.000, 0.087	387.000, 0.087	387.000, 0.086	387.000, 0.089	387.000, 0.084
388.000, 0.088	388.000, 0.088	388.000, 0.086	388.000, 0.086	388.000, 0.087	388.000, 0.089	388.000, 0.087	388.000, 0.088	388.000, 0.089	388.000, 0.086
389.000, 0.091	389.000, 0.090	389.000, 0.088	389.000, 0.090	389.000, 0.089	389.000, 0.091	389.000, 0.088	389.000, 0.089	389.000, 0.090	389.000, 0.089
390.000, 0.092	390.000, 0.091	390.000, 0.089	390.000, 0.093	390.000, 0.091	390.000, 0.092	390.000, 0.089	390.000, 0.089	390.000, 0.093	390.000, 0.089
391.000, 0.090	391.000, 0.090	391.000, 0.089	391.000, 0.090	391.000, 0.090	391.000, 0.090	391.000, 0.090	391.000, 0.089	391.000, 0.092	391.000, 0.089
392.000, 0.089	392.000, 0.089	392.000, 0.089	392.000, 0.089	392.000, 0.090	392.000, 0.091	392.000, 0.090	392.000, 0.089	392.000, 0.090	392.000, 0.089
393.000, 0.090	393.000, 0.089	393.000, 0.089	393.000, 0.090	393.000, 0.090	393.000, 0.094	393.000, 0.089	393.000, 0.090	393.000, 0.090	393.000, 0.089
394.000, 0.091	394.000, 0.089	394.000, 0.091	394.000, 0.089	394.000, 0.091	394.000, 0.093	394.000, 0.090	394.000, 0.091	394.000, 0.090	394.000, 0.090
395.000, 0.091	395.000, 0.090	395.000, 0.091	395.000, 0.090	395.000, 0.092	395.000, 0.093	395.000, 0.090	395.000, 0.092	395.000, 0.091	395.000, 0.090
396.000, 0.090	396.000, 0.091	396.000, 0.090	396.000, 0.091	396.000, 0.091	396.000, 0.095	396.000, 0.091	396.000, 0.092	396.000, 0.091	396.000, 0.091
397.000, 0.091	397.000, 0.092	397.000, 0.090	397.000, 0.092	397.000, 0.091	397.000, 0.094	397.000, 0.092	397.000, 0.091	397.000, 0.091	397.000, 0.091
398.000, 0.092	398.000, 0.092	398.000, 0.092	398.000, 0.094	398.000, 0.093	398.000, 0.094	398.000, 0.093	398.000, 0.091	398.000, 0.093	398.000, 0.092
399.000, 0.092	399.000, 0.092	399.000, 0.092	399.000, 0.094	399.000, 0.093	399.000, 0.093	399.000, 0.091	399.000, 0.091	399.000, 0.093	399.000, 0.091
400.000, 0.092	400.000, 0.091	400.000, 0.092	400.000, 0.092	400.000, 0.092	400.000, 0.093	400.000, 0.090	400.000, 0.091	400.000, 0.092	400.000, 0.090
401.000, 0.092	401.000, 0.093	401.000, 0.093	401.000, 0.092	401.000, 0.093	401.000, 0.094	401.000, 0.092	401.000, 0.093	401.000, 0.092	401.000, 0.091
402.000, 0.093	402.000, 0.094	402.000, 0.093	402.000, 0.094	402.000, 0.093	402.000, 0.094	402.000, 0.094	402.000, 0.094	402.000, 0.093	402.000, 0.094
403.000, 0.094	403.000, 0.093	403.000, 0.094	403.000, 0.094	403.000, 0.093	403.000, 0.094	403.000, 0.094	403.000, 0.093	403.000, 0.094	403.000, 0.095
404.000, 0.093	404.000, 0.093	404.000, 0.094	404.000, 0.094	404.000, 0.093	404.000, 0.095	404.000, 0.094	404.000, 0.094	404.000, 0.094	404.000, 0.094
405.000, 0.092	405.000, 0.094	405.000, 0.094	405.000, 0.094	405.000, 0.093	405.000, 0.095	405.000, 0.094	405.000, 0.094	405.000, 0.094	405.000, 0.092
406.000, 0.093	406.000, 0.094	406.000, 0.094	406.000, 0.095	406.000, 0.094	406.000, 0.095	406.000, 0.094	406.000, 0.094	406.000, 0.095	406.000, 0.092
407.000, 0.094	407.000, 0.094	407.000, 0.095	407.000, 0.095	407.000, 0.095	407.000, 0.096	407.000, 0.094	407.000, 0.094	407.000, 0.095	407.000, 0.094
408.000, 0.094	408.000, 0.095	408.000, 0.095	408.000, 0.095	408.000, 0.095	408.000, 0.095	408.000, 0.095	408.000, 0.095	408.000, 0.095	408.000, 0.095
409.000, 0.094	409.000, 0.096	409.000, 0.095	409.000, 0.095	409.000, 0.096	409.000, 0.096	409.000, 0.095	409.000, 0.096	409.000, 0.096	409.000, 0.094
410.000, 0.095	410.000, 0.096	410.000, 0.095	410.000, 0.095	410.000, 0.095	410.000, 0.097	410.000, 0.095	410.000, 0.097	410.000, 0.096	410.000, 0.094
411.000, 0.095	411.000, 0.096	411.000, 0.095	411.000, 0.096	411.000, 0.095	411.000, 0.097	411.000, 0.095	411.000, 0.096	411.000, 0.097	411.000, 0.095
412.000, 0.095	412.000, 0.097	412.000, 0.096	412.000, 0.097	412.000, 0.096	412.000, 0.097	412.000, 0.096	412.000, 0.096	412.000, 0.096	412.000, 0.096
413.000, 0.096	413.000, 0.097	413.000, 0.097	413.000, 0.097	413.000, 0.096	413.000, 0.097	413.000, 0.096	413.000, 0.097	413.000, 0.096	413.000, 0.096
414.000, 0.096	414.000, 0.097	414.000, 0.097	414.000, 0.097	414.000, 0.097	414.000, 0.098	414.000, 0.096	414.000, 0.097	414.000, 0.097	414.000, 0.096
415.000, 0.096	415.000, 0.097	415.000, 0.097	415.000, 0.097	415.000, 0.097	415.000, 0.098	415.000, 0.097	415.000, 0.098	415.000, 0.098	415.000, 0.096
416.000, 0.097	416.000, 0.098	416.000, 0.098	416.000, 0.098	416.000, 0.097	416.000, 0.098	416.000, 0.097	416.000, 0.098	416.000, 0.098	416.000, 0.098
417.000, 0.098	417.000, 0.099	417.000, 0.098	417.000, 0.098	417.000, 0.098	417.000, 0.099	417.000, 0.097	417.000, 0.099	417.000, 0.098	417.000, 0.098
418.000, 0.098	418.000, 0.099	418.000, 0.098	418.000, 0.099	418.000, 0.098	418.000, 0.099	418.000, 0.098	418.000, 0.099	418.000, 0.098	418.000, 0.098
419.000, 0.098	419.000, 0.099	419.000, 0.098	419.000, 0.099	419.000, 0.099	419.000, 0.099	419.000, 0.099	419.000, 0.099	419.000, 0.099	419.000, 0.097
420.000, 0.098	420.000, 0.099	420.000, 0.099	420.000, 0.099	420.000, 0.098	420.000, 0.100	420.000, 0.099	420.000, 0.099	420.000, 0.099	420.000, 0.098
421.000, 0.099	421.000, 0.099	421.000, 0.099	421.000, 0.099	421.000, 0.099	421.000, 0.100	421.000, 0.099	421.000, 0.100	421.000, 0.099	421.000, 0.099
422.000, 0.099	422.000, 0.100	422.000, 0.099	422.000, 0.100	422.000, 0.099	422.000, 0.100	422.000, 0.100	422.000, 0.100	422.000, 0.099	422.000, 0.100
423.000, 0.099	423.000, 0.100	423.000, 0.100	423.000, 0.100	423.000, 0.100	423.000, 0.101	423.000, 0.100	423.000, 0.100	423.000, 0.100	423.000, 0.099
424.000, 0.100	424.000, 0.100	424.000, 0.100	424.000, 0.101	424.000, 0.101	424.000, 0.101	424.000, 0.100	424.000, 0.101	424.000, 0.101	424.000, 0.100
425.000, 0.100	425.000, 0.101	425.000, 0.101	425.000, 0.101	425.000, 0.101	425.000, 0.102	425.000, 0.101	425.000, 0.101	425.000, 0.102	425.000, 0.100
426.000, 0.101	426.000, 0.102	426.000, 0.102	426.000, 0.102	426.000, 0.101	426.000, 0.102	426.000, 0.101	426.000, 0.102	426.000, 0.102	426.000, 0.100
427.000, 0.101	427.000, 0.102	427.000, 0.102	427.000, 0.102	427.000, 0.101	427.000, 0.102	427.000, 0.102	427.000, 0.102	427.000, 0.102	427.000, 0.101
428.000, 0.102	428.000, 0.103	428.000, 0.102	428.000, 0.102	428.000, 0.102	428.000, 0.102	428.000, 0.102	428.000, 0.102	428.000, 0.102	428.000, 0.102
429.000, 0.102	429.000, 0.103	429.000, 0.102	429.000, 0.102	429.000, 0.103	429.000, 0.103	429.000, 0.102	429.000, 0.103	429.000, 0.103	429.000, 0.102
430.000, 0.102	430.000, 0.103	430.000, 0.103	430.000, 0.103	430.000, 0.103	430.000, 0.103	430.000, 0.103	430.000, 0.103	430.000, 0.103	430.000, 0.102
431.000, 0.102	431.000, 0.103	431.000, 0.103	431.000, 0.104	431.000, 0.103	431.000, 0.104	431.000, 0.103	431.000, 0.104	431.000, 0.103	431.000, 0.102
432.000, 0.102	432.000, 0.104	432.000, 0.104	432.000, 0.104	432.000, 0.103	432.000, 0.105	432.000, 0.103	432.000, 0.104	432.000, 0.104	432.000, 0.102
433.000, 0.103	433.000, 0.104	433.000, 0.104	433.000, 0.104	433.000, 0.104	433.000, 0.105	433.000, 0.104	433.000, 0.105	433.000, 0.104	433.000, 0.103
434.000, 0.103	434.000, 0.104	434.000, 0.104	434.000, 0.105	434.000, 0.105	434.000, 0.105	434.000, 0.104	434.000, 0.105	434.000, 0.105	434.000, 0.103
435.000, 0.104	435.000, 0.104	435.000, 0.105	435.000, 0.105	435.000, 0.105	435.000, 0.106	435.000, 0.105	435.000, 0.106	435.000, 0.106	435.000, 0.103
436.000, 0.104	436.000, 0.105	436.000, 0.105	436.000, 0.106	436.000, 0.106	436.000, 0.106	436.000, 0.105	436.000, 0.106	436.000, 0.106	436.000, 0.104
437.000, 0.104	437.000, 0.105	437.000, 0.106	437.000, 0.106	437.000, 0.106	437.000, 0.106	437.000, 0.106	437.000, 0.106	437.000, 0.106	437.000, 0.104
438.000, 0.105	438.000, 0.106	438.000, 0.106	438.000, 0.107	438.000, 0.106	438.000, 0.107	438.000, 0.106	438.000, 0.107	438.000, 0.106	438.000, 0.104
439.000, 0.105	439.000, 0.106	439.000, 0.106	439.000, 0.107	439.000, 0.107	439.000, 0.107	439.000, 0.107	439.000, 0.107	439.000, 0.107	439.000, 0.105
440.000, 0.105	440.000, 0.106	440.000, 0.107	440.000, 0.107	440.000, 0.107	440.000, 0.108	440.000, 0.107	440.000, 0.107	440.000, 0.107	440.000, 0.105
441.000, 0.106	441.000, 0.107	441.000, 0.107	441.000, 0.108	441.000, 0.107	441.000, 0.108	441.000, 0.107	441.000, 0.108	441.000, 0.107	441.000, 0.106
442.000, 0.106	442.000, 0.107	442.000, 0.107	442.000, 0.108	442.000, 0.107	442.000, 0.108	442.000, 0.107	442.000, 0.108	442.000, 0.108	442.000, 0.106
443.000, 0.107	443.000, 0.108	443.000, 0.108	443.000, 0.108	443.000, 0.108	443.000, 0.108	443.000, 0.108	443.000, 0.108	443.000, 0.108	443.000, 0.107
444.000, 0.108	444.000, 0.108	444.000, 0.108	444.000, 0.108	444.000, 0.108	444.000, 0.108	444.000, 0.108	444.000, 0.108	444.000, 0.109	444.000, 0.107
445.000, 0.108	445.000, 0.109	445.000, 0.108	445.000, 0.109	445.000, 0.109	445.000, 0.109	445.000, 0.108	445.000, 0.109	445.000, 0.109	445.000, 0.108
446.000, 0.108	446.000, 0.109	446.000, 0.109	446.000, 0.109	446.000, 0.109	446.000, 0.109	446.000, 0.109	446.000, 0.109	446.000, 0.109	446.000, 0.108
447.000, 0.109	447.000, 0.109	447.000, 0.109	447.000, 0.109	447.000, 0.109	447.000, 0.110	447.000, 0.109	447.000, 0.110	447.000, 0.110	447.000, 0.109
448.000, 0.109	448.000, 0.110	448.000, 0.109	448.000, 0.110	448.000, 0.110	448.000, 0.110	448.000, 0.110	448.000, 0.110	448.000, 0.110	448.000, 0.109
449.000, 0.110	449.000, 0.110	449.000, 0.110	449.000, 0.110	449.000, 0.110	449.000, 0.110	449.000, 0.110	449.000, 0.110	449.000, 0.110	449.000, 0.109
450.000, 0.110	450.000, 0.111	450.000, 0.110	450.000, 0.111	450.000, 0.110	450.000, 0.111	450.000, 0.110	450.000, 0.111	450.000, 0.111	450.000, 0.109
451.000, 0.110	451.000, 0.111	451.000, 0.110	451.000, 0.111	451.000, 0.111	451.000, 0.111	451.000, 0.111	451.000, 0.111	451.000, 0.111	451.000, 0.110
452.000, 0.110	452.000, 0.111	452.000, 0.111	452.000, 0.111	452.000, 0.111	452.000, 0.112	452.000, 0.111	452.000, 0.111	452.000, 0.111	452.000, 0.110
453.000, 0.111	453.000, 0.111	453.000, 0.112	453.000, 0.112	453.000, 0.111	453.000, 0.112	453.000, 0.111	453.000, 0.112	453.000, 0.112	453.000, 0.110
454.000, 0.111	454.000, 0.112	454.000, 0.112	454.000, 0.112	454.000, 0.112	454.000, 0.112	454.000, 0.112	454.000, 0.112	454.000, 0.112	454.000, 0.111
455.000, 0.111	455.000, 0.112	455.000, 0.112	455.000, 0.112	455.000, 0.112	455.000, 0.112	455.000, 0.112	455.000, 0.112	455.000, 0.112	455.000, 0.111
456.000, 0.112	456.000, 0.112	456.000, 0.112	456.000, 0.113	456.000, 0.112	456.000, 0.113	456.000, 0.112	456.000, 0.113	456.000, 0.113	456.000, 0.112
457.000, 0.112	457.000, 0.113	457.000, 0.113	457.000, 0.113	457.000, 0.113	457.000, 0.113	457.000, 0.113	457.000, 0.113	457.000, 0.113	457.000, 0.112
458.000, 0.113	458.000, 0.113	458.000, 0.113	458.000, 0.114	458.000, 0.113	458.000, 0.114	458.000, 0.113	458.000, 0.113	458.000, 0.113	458.000, 0.112
