350.000, 0.077	350.000, 0.052	350.000, 0.112	350.000, 0.064	350.000, 0.067	350.000, 0.079	350.000, 0.070	350.000, 0.066	350.000, 0.078	350.000, 0.071
351.000, 0.086	351.000, 0.053	351.000, 0.101	351.000, 0.067	351.000, 0.080	351.000, 0.073	351.000, 0.063	351.000, 0.099	351.000, 0.080	351.000, 0.086
352.000, 0.089	352.000, 0.072	352.000, 0.106	352.000, 0.068	352.000, 0.088	352.000, 0.081	352.000, 0.070	352.000, 0.115	352.000, 0.086	352.000, 0.101
353.000, 0.076	353.000, 0.081	353.000, 0.121	353.000, 0.055	353.000, 0.067	353.000, 0.085	353.000, 0.074	353.000, 0.083	353.000, 0.078	353.000, 0.096
354.000, 0.083	354.000, 0.071	354.000, 0.082	354.000, 0.063	354.000, 0.090	354.000, 0.077	354.000, 0.070	354.000, 0.056	354.000, 0.068	354.000, 0.085
355.000, 0.089	355.000, 0.075	355.000, 0.062	355.000, 0.075	355.000, 0.096	355.000, 0.083	355.000, 0.067	355.000, 0.067	355.000, 0.075	355.000, 0.074
356.000, 0.087	356.000, 0.086	356.000, 0.069	356.000, 0.083	356.000, 0.078	356.000, 0.091	356.000, 0.070	356.000, 0.093	356.000, 0.085	356.000, 0.068
357.000, 0.081	357.000, 0.072	357.000, 0.071	357.000, 0.080	357.000, 0.068	357.000, 0.066	357.000, 0.080	357.000, 0.075	357.000, 0.067	357.000, 0.068
358.000, 0.081	358.000, 0.068	358.000, 0.069	358.000, 0.074	358.000, 0.068	358.000, 0.064	358.000, 0.083	358.000, 0.069	358.000, 0.072	358.000, 0.074
359.000, 0.084	359.000, 0.069	359.000, 0.072	359.000, 0.066	359.000, 0.069	359.000, 0.071	359.000, 0.078	359.000, 0.071	359.000, 0.079	359.000, 0.077
360.000, 0.083	360.000, 0.070	360.000, 0.083	360.000, 0.058	360.000, 0.066	360.000, 0.066	360.000, 0.072	360.000, 0.072	360.000, 0.065	360.000, 0.072
361.000, 0.076	361.000, 0.074	361.000, 0.079	361.000, 0.062	361.000, 0.073	361.000, 0.078	361.000, 0.074	361.000, 0.074	361.000, 0.070	361.000, 0.071
